type,variety,extract,psy,protein
Brewing,Propino,82.5,,10.2
Brewing,Propino,81.5,,10.6
Brewing,Planet,83,,10.1
Brewing,Planet,82.3,,10.3
Brewing,Planet,82.5,,10.1
Brewing,Propino,82.9,,10.1
Brewing,Propino,81.1,,10.4
Brewing,Propino,82.4,,10.3
Brewing,Planet,82.4,,10.3
Brewing,Planet,82.2,,10.2
Brewing,Propino,81.1,,10.5
Brewing,Propino,82.4,,10.2
Brewing,Propino,81.2,,10.4
Brewing,Propino,81.3,,10.4
Brewing,Planet,81.4,,10.4
Brewing,Planet,82.5,,10.2
Brewing,Planet,82.2,,10.3
Brewing,Propino,82.3,,10.2
Brewing,Propino,81.2,,10.5
Brewing,Planet,82.1,,10.2
Brewing,Propino,82,,10.2
Brewing,Propino,82.2,,10.2
Brewing,Planet,81.4,,10.6
Brewing,Propino,82.5,,10.2
Brewing,Planet,83,,9.9
Brewing,Planet,83.1,,9.6
Brewing,Planet,84.3,,9.4
Brewing,Olympus,81.9,,10.3
Brewing,Propino,81.3,,10.5
Brewing,Propino,82.4,,10.2
Brewing,Olympus,83.4,,8.9
Brewing,Planet,83,,9.7
Brewing,Propino,81.5,,10.4
Brewing,Planet,81.4,,10.5
Brewing,Planet,82.4,,10.1
Brewing,Propino,81.6,,10.4
Brewing,Planet,83.2,,9.7
Brewing,Planet,82.8,,9.7
Brewing,Propino,81.7,,10.4
Brewing,Propino,81.7,,10.4
Brewing,Planet,82.5,,10.2
Brewing,Propino,81.5,,10.5
Brewing,Propino,81.6,,10.4
Distilling,Olympus,,419,9.5
Distilling,Planet,,417,9.8
Brewing,Olympus,84,,8.9
Brewing,Propino,81.8,,10.4
Brewing,Planet,82,,10.3
Brewing,Propino,81.9,,10.4
Brewing,Propino,81.6,,10.5
Brewing,Planet,82.3,,10.2
Brewing,Planet,82.3,,10.1
Brewing,Propino,82.2,,10.3
Brewing,Propino,83,,9.7
Distilling,Planet,,418,9.8
Brewing,Propino,82.3,,10.2
Distilling,Planet,,417,9.4
Distilling,Olympus,,419,9.4
Distilling,Olympus,,420,9.1
Brewing,Propino,82.2,,10.3
Brewing,Planet,81.9,,10.1
Brewing,Planet,82.1,,10.2
Brewing,Planet,81.9,,10.4
Brewing,Planet,82,,10.4
Brewing,Planet,81.8,,10.1
Brewing,Propino,82,,10.2
Brewing,Propino,81.5,,10.4
Brewing,Planet,81.9,,10.3
Brewing,Planet,82.8,,9.8
Distilling,Propino,,418,9.9
Brewing,Planet,83,,9.9
Brewing,Planet,82.3,,10
Brewing,Planet,82.9,,10
Brewing,Propino,82.6,,10
Distilling,Planet,,421,9.6
Distilling,Planet,,419,9.7
Brewing,Propino,81.1,,10.4
Brewing,Propino,81.2,,10.4
Brewing,Planet,81.9,,10.1
Brewing,Propino,82.1,,10.1
Brewing,Propino,82.7,,9.9
Distilling,Planet,,419,10.4
Brewing,Planet,82.4,,10.2
Brewing,Planet,82.3,,10.3
Brewing,Propino,82.2,,9.9
Brewing,Propino,82.3,,10.3
Brewing,Propino,82.1,,10.2
Brewing,Propino,82.6,,10.1
Brewing,Planet,81.7,,10.5
Distilling,Olympus,,417,9.6
Distilling,Olympus,,419,10.0
Brewing,Propino,82.4,,10.1
Distilling,Planet,,418,9.4
Distilling,Planet,,422,9.8
Brewing,Propino,82.7,,9.7
Brewing,Planet,81.3,,10.4
Brewing,Planet,82.1,,10.2
Brewing,Propino,82.2,,10.3
Distilling,Planet,,421,9.4
Brewing,Planet,82,,10.3
Brewing,Planet,82.3,,10.2
Brewing,Planet,82.6,,10.1
Brewing,Propino,81.3,,10.6
Brewing,Propino,82,,10.3
Brewing,Propino,81.4,,10.4
Brewing,Propino,82,,10.3
Brewing,Propino,82.5,,10.1
Brewing,Propino,82.1,,10.3
Brewing,Propino,81.8,,10.5
Brewing,Planet,83.3,,9.7
Brewing,Planet,84.5,,9.3
Brewing,Propino,81.9,,10.5
Brewing,Propino,82,,10.5
Distilling,Planet,,417,10.0
Brewing,Planet,83.6,,9.6
Brewing,Planet,82.6,,9.8
Brewing,Propino,81.8,,10.2
Brewing,Propino,81.2,,10.6
Brewing,Planet,82.4,,9.9
Brewing,Planet,82.7,,9.8
Brewing,Propino,82.2,,10.3
Brewing,Propino,82.2,,10.2
Brewing,Olympus,82.9,,10.1
Distilling,Planet,,417,9.3
Brewing,Planet,81.5,,10.4
Brewing,Laureate,82.2,,10.3
Brewing,Laureate,81.9,,10.3
Brewing,Olympus,83.3,,9.6
Brewing,Planet,82.5,,9.9
Brewing,Propino,82.4,,10.2
Brewing,Olympus,82.6,,9.8
Brewing,Laureate,83,,10.1
Brewing,Planet,82.1,,10.2
Brewing,Planet,82,,10.2
Brewing,Propino,82.8,,10
Brewing,Laureate,82.1,,10.3
Brewing,Olympus,82.5,,9.6
Distilling,Olympus,,419,10.0
Brewing,Planet,82.1,,10.1
Brewing,Planet,81.6,,10.4
Brewing,Propino,81.1,,10.5
Brewing,Olympus,82.2,,10.2
Brewing,Propino,81.1,,10.6
Brewing,Laureate,82.2,,10.3
Brewing,Planet,82.6,,10.1
Brewing,Olympus,82.1,,10
Brewing,Laureate,82.5,,10.2
Brewing,Olympus,82.3,,10.1
Brewing,Laureate,82.6,,10
Brewing,Planet,82.7,,10.1
Brewing,Propino,81.5,,10.6
Brewing,Propino,81.7,,10.4
Distilling,Olympus,,422,9.3
Brewing,Olympus,82.5,,10.2
Brewing,Laureate,83,,10
Brewing,Planet,82.9,,10
Brewing,Olympus,82.9,,10
Brewing,Propino,83,,10.1
Brewing,Laureate,82,,10.3
Brewing,Propino,81.2,,10.5
Distilling,Olympus,,420,9.4
Distilling,Planet,,408,10.3
Brewing,Planet,82.4,,10.3
Brewing,Laureate,82.5,,10.2
Brewing,Olympus,82.7,,10
Distilling,Planet,,416,10.0
Brewing,Propino,81.4,,10.6
Brewing,Propino,81.8,,10.4
Distilling,Olympus,,421,9.6
Brewing,Olympus,81.3,,10.6
Brewing,Laureate,82,,10.3
Brewing,Laureate,83.1,,10
Brewing,Olympus,82.9,,10.1
Brewing,Propino,83.3,,10
Brewing,Propino,82.8,,10.1
Distilling,Olympus,,419,9.6
Brewing,Planet,82.8,,10
Brewing,Planet,82.4,,10.2
Brewing,Olympus,82.5,,9.9
Brewing,Laureate,82.9,,10.1
Brewing,Propino,83,,9.6
Brewing,Olympus,81.9,,10.4
Brewing,Propino,82.5,,9.9
Brewing,Olympus,82.9,,10.1
Brewing,Laureate,82.9,,10.1
Brewing,Planet,82.1,,10.3
Brewing,Olympus,82.7,,10
Brewing,Laureate,82.1,,10.3
Brewing,Propino,82.5,,10.2
Brewing,Olympus,83.1,,10
Brewing,Laureate,83.3,,10
Brewing,Propino,82,,10.4
Distilling,Planet,,412,9.9
Distilling,Planet,,416,9.7
Brewing,Olympus,82.6,,10.1
Brewing,Laureate,82,,10.1
Brewing,Propino,81.1,,10.4
Distilling,Olympus,,416,10.0
Distilling,Olympus,,410,10.0
Distilling,Olympus,,418,9.6
Brewing,Olympus,82.5,,9.9
Brewing,Laureate,83.5,,9.6
Brewing,Laureate,81.2,,10.4
Brewing,Olympus,82.7,,10
Brewing,Propino,82.3,,10.2
Brewing,Olympus,82.4,,10
Brewing,Propino,82.2,,10.3
Brewing,Propino,83,,10.1
Brewing,Propino,82.3,,10.2
Brewing,Olympus,83,,9.7
Distilling,Planet,,418,9.4
Distilling,Planet,,421,9.2
Distilling,Planet,,420,9.3
Brewing,Olympus,82.8,,10
Brewing,Propino,83.3,,10
Brewing,Propino,82.3,,10.3
Distilling,Planet,,418,10.1
Distilling,Planet,,415,10.1
Brewing,Planet,82.6,,9.9
Distilling,Planet,,415,9.3
Distilling,Planet,,415,9.4
Distilling,Planet,,413,9.5
Brewing,Propino,81.3,,10.4
Brewing,Propino,81.3,,10.5
Brewing,Propino,82.1,,10.2
Brewing,Olympus,82.6,,9.8
Brewing,Olympus,82.2,,10.1
Distilling,Planet,,411,9.8
Distilling,Planet,,417,9.6
Distilling,Planet,,416,9.4
Brewing,Olympus,82.4,,10.3
Distilling,Planet,,415,9.5
Distilling,Planet,,414,9.4
Brewing,Propino,82.4,,10.2
Brewing,Propino,81.2,,10.6
Brewing,Olympus,81.7,,10.3
Brewing,Olympus,82.3,,10.2
Brewing,Propino,81.4,,10.4
Brewing,Propino,82.3,,10.3
Brewing,Olympus,82,,10.2
Distilling,Planet,,416,9.7
Distilling,Planet,,412,9.6
Distilling,Olympus,,418,9.5
Distilling,Olympus,,418,9.4
Brewing,Planet,83.4,,10.1
Brewing,Planet,81.5,,10.4
Brewing,Propino,82,,10.3
Brewing,Planet,81.4,,10.5
Brewing,Planet,83,,10.1
Brewing,Propino,83.3,,10
Brewing,Planet,83.4,,9.7
Brewing,Planet,83.2,,10
Brewing,Propino,84.2,,9.8
Brewing,Propino,83,,10
Brewing,Planet,82.2,,9.9
Brewing,Planet,82.9,,9.9
Distilling,Olympus,,419,9.4
Distilling,Olympus,,418,9.1
Distilling,Planet,,416,9.4
Distilling,Planet,,413,10.0
Brewing,Planet,81.9,,10.3
Brewing,Planet,82.9,,10.1
Brewing,Propino,81.9,,10.3
Distilling,Planet,,411,9.9
Distilling,Olympus,,422,9.3
Brewing,Propino,82.3,,10.2
Brewing,Planet,83.1,,10
Brewing,Planet,82.9,,10.1
Brewing,Propino,81.8,,10.3
Brewing,Planet,82.3,,9.9
Brewing,Planet,82.9,,10.1
Distilling,Olympus,,418,10.0
Distilling,Olympus,,420,9.1
Brewing,Propino,81.6,,10.4
Brewing,Planet,83,,9.8
Brewing,Planet,83.2,,9.9
Brewing,Planet,83.2,,10
Brewing,Planet,82.5,,9.9
Distilling,Olympus,,413,10.0
Brewing,Planet,81.8,,10.3
Brewing,Planet,82.4,,10.2
Distilling,Olympus,,417,10.4
Brewing,Planet,82.2,,10.2
Brewing,Planet,81.7,,10.4
Distilling,Olympus,,420,9.1
Distilling,Olympus,,421,9.0
Brewing,Planet,82,,10.2
Brewing,Propino,81.5,,10.5
Distilling,Olympus,,418,8.9
Brewing,Planet,82,,10.3
Brewing,Planet,82.4,,10
Brewing,Propino,82,,10.2
Brewing,Planet,82.9,,10.1
Brewing,Propino,82.3,,10.3
Brewing,Planet,81.8,,10.4
Brewing,Planet,81.6,,10.5
Distilling,Olympus,,418,10.0
Distilling,Olympus,,417,9.7
Brewing,Propino,81.9,,10.4
Distilling,Olympus,,419,9.2
Distilling,Olympus,,420,9.1
Distilling,Olympus,,413,9.8
Brewing,Planet,82.9,,10.1
Brewing,Planet,83.4,,10.1
Brewing,Propino,82.1,,10.2
Brewing,Planet,82.9,,10.1
Brewing,Planet,82.7,,10
Brewing,Propino,82.8,,10.1
Brewing,Planet,82.1,,9.9
Brewing,Planet,82,,10.3
Brewing,Propino,82.1,,10.3
Brewing,Planet,82.3,,10.2
Brewing,Planet,81.7,,10.5
Brewing,Planet,82,,10.4
Brewing,Planet,82.4,,10.2
Brewing,Propino,81.1,,10.4
Brewing,Propino,81.1,,10.6
Brewing,Planet,82,,10.2
Distilling,Planet,,415,9.6
Distilling,Planet,,414,9.7
Brewing,Propino,82.2,,10.3
Brewing,Planet,82.3,,10.3
Distilling,Propino,,419,9.5
Distilling,Propino,,417,9.4
Distilling,Propino,,412,9.1
Brewing,Planet,81.8,,10.5
Brewing,Planet,81.9,,10.5
Distilling,Propino,,415,9.6
Distilling,Propino,,414,9.3
